type;n;algo;threshold;time_ms
random;65800;merge;0;2
random;65900;merge;0;2
random;66000;merge;0;2
random;66100;merge;0;2
random;66200;merge;0;2
random;66300;merge;0;2
random;66400;merge;0;2
random;66500;merge;0;2
random;66600;merge;0;2
random;66700;merge;0;2
random;66800;merge;0;2
random;66900;merge;0;2
random;67000;merge;0;2
random;67100;merge;0;2
random;67200;merge;0;2
random;67300;merge;0;2
random;67400;merge;0;2
random;67500;merge;0;2
random;67600;merge;0;2
random;67700;merge;0;2
random;67800;merge;0;2
random;67900;merge;0;2
random;68000;merge;0;2
random;68100;merge;0;2
random;68200;merge;0;2
random;68300;merge;0;2
random;68400;merge;0;2
random;68500;merge;0;2
random;68600;merge;0;2
random;68700;merge;0;2
random;68800;merge;0;2
random;68900;merge;0;2
random;69000;merge;0;2
random;69100;merge;0;2
random;69200;merge;0;2
random;69300;merge;0;2
random;69400;merge;0;2
random;69500;merge;0;2
random;69600;merge;0;2
random;69700;merge;0;2
random;69800;merge;0;2
random;69900;merge;0;2
random;70000;merge;0;2
random;70100;merge;0;2
random;70200;merge;0;2
random;70300;merge;0;2
random;70400;merge;0;2
random;70500;merge;0;3
random;70600;merge;0;2
random;70700;merge;0;2
random;70800;merge;0;2
random;70900;merge;0;2
random;71000;merge;0;2
random;71100;merge;0;2
random;71200;merge;0;2
random;71300;merge;0;2
random;71400;merge;0;2
random;71500;merge;0;3
random;71600;merge;0;3
random;71700;merge;0;2
random;71800;merge;0;2
random;71900;merge;0;2
random;72000;merge;0;2
random;72100;merge;0;3
random;72200;merge;0;3
random;72300;merge;0;3
random;72400;merge;0;2
random;72500;merge;0;3
random;72600;merge;0;3
random;72700;merge;0;3
random;72800;merge;0;3
random;72900;merge;0;3
random;73000;merge;0;2
random;73100;merge;0;3
random;73200;merge;0;2
random;73300;merge;0;3
random;73400;merge;0;3
random;73500;merge;0;3
random;73600;merge;0;3
random;73700;merge;0;3
random;73800;merge;0;3
random;73900;merge;0;3
random;74000;merge;0;3
random;74100;merge;0;3
random;74200;merge;0;3
random;74300;merge;0;3
random;74400;merge;0;3
random;74500;merge;0;3
random;74600;merge;0;3
random;74700;merge;0;3
random;74800;merge;0;3
random;74900;merge;0;3
random;75000;merge;0;3
random;75100;merge;0;3
random;75200;merge;0;3
random;75300;merge;0;3
random;75400;merge;0;3
random;75500;merge;0;3
random;75600;merge;0;3
random;75700;merge;0;3
random;75800;merge;0;3
random;75900;merge;0;3
random;76000;merge;0;3
random;76100;merge;0;3
random;76200;merge;0;3
random;76300;merge;0;3
random;76400;merge;0;3
random;76500;merge;0;3
random;76600;merge;0;3
random;76700;merge;0;3
random;76800;merge;0;3
random;76900;merge;0;3
random;77000;merge;0;3
random;77100;merge;0;3
random;77200;merge;0;3
random;77300;merge;0;3
random;77400;merge;0;3
random;77500;merge;0;3
random;77600;merge;0;3
random;77700;merge;0;3
random;77800;merge;0;3
random;77900;merge;0;3
random;78000;merge;0;3
random;78100;merge;0;3
random;78200;merge;0;3
random;78300;merge;0;3
random;78400;merge;0;3
random;78500;merge;0;3
random;78600;merge;0;3
random;78700;merge;0;3
random;78800;merge;0;3
random;78900;merge;0;3
random;79000;merge;0;3
random;79100;merge;0;3
random;79200;merge;0;3
random;79300;merge;0;3
random;79400;merge;0;3
random;79500;merge;0;3
random;79600;merge;0;3
random;79700;merge;0;3
random;79800;merge;0;3
random;79900;merge;0;3
random;80000;merge;0;3
random;80100;merge;0;3
random;80200;merge;0;3
random;80300;merge;0;3
random;80400;merge;0;3
random;80500;merge;0;3
random;80600;merge;0;3
random;80700;merge;0;3
random;80800;merge;0;3
random;80900;merge;0;3
random;81000;merge;0;3
random;81100;merge;0;3
random;81200;merge;0;3
random;81300;merge;0;3
random;81400;merge;0;3
random;81500;merge;0;3
random;81600;merge;0;3
random;81700;merge;0;3
random;81800;merge;0;3
random;81900;merge;0;3
random;82000;merge;0;3
random;82100;merge;0;3
random;82200;merge;0;3
random;82300;merge;0;3
random;82400;merge;0;3
random;82500;merge;0;3
random;82600;merge;0;3
random;82700;merge;0;3
random;82800;merge;0;3
random;82900;merge;0;3
random;83000;merge;0;3
random;83100;merge;0;3
random;83200;merge;0;3
random;83300;merge;0;3
random;83400;merge;0;3
random;83500;merge;0;3
random;83600;merge;0;3
random;83700;merge;0;3
random;83800;merge;0;3
random;83900;merge;0;3
random;84000;merge;0;3
random;84100;merge;0;3
random;84200;merge;0;3
random;84300;merge;0;3
random;84400;merge;0;3
random;84500;merge;0;3
random;84600;merge;0;3
random;84700;merge;0;3
random;84800;merge;0;3
random;84900;merge;0;3
random;85000;merge;0;3
random;85100;merge;0;3
random;85200;merge;0;3
random;85300;merge;0;3
random;85400;merge;0;3
random;85500;merge;0;3
random;85600;merge;0;3
random;85700;merge;0;3
random;85800;merge;0;3
random;85900;merge;0;3
random;86000;merge;0;3
random;86100;merge;0;3
random;86200;merge;0;3
random;86300;merge;0;3
random;86400;merge;0;3
random;86500;merge;0;3
random;86600;merge;0;3
random;86700;merge;0;3
random;86800;merge;0;3
random;86900;merge;0;3
random;87000;merge;0;3
random;87100;merge;0;3
random;87200;merge;0;3
random;87300;merge;0;3
random;87400;merge;0;3
random;87500;merge;0;3
random;87600;merge;0;3
random;87700;merge;0;3
random;87800;merge;0;3
random;87900;merge;0;3
random;88000;merge;0;3
random;88100;merge;0;3
random;88200;merge;0;3
random;88300;merge;0;3
random;88400;merge;0;3
random;88500;merge;0;3
random;88600;merge;0;3
random;88700;merge;0;3
random;88800;merge;0;3
random;88900;merge;0;3
random;89000;merge;0;3
random;89100;merge;0;3
random;89200;merge;0;3
random;89300;merge;0;3
random;89400;merge;0;3
random;89500;merge;0;3
random;89600;merge;0;3
random;89700;merge;0;3
random;89800;merge;0;3
random;89900;merge;0;3
random;90000;merge;0;3
random;90100;merge;0;3
random;90200;merge;0;3
random;90300;merge;0;3
random;90400;merge;0;3
random;90500;merge;0;3
random;90600;merge;0;3
random;90700;merge;0;3
random;90800;merge;0;3
random;90900;merge;0;3
random;91000;merge;0;3
random;91100;merge;0;3
random;91200;merge;0;3
random;91300;merge;0;3
random;91400;merge;0;3
random;91500;merge;0;3
random;91600;merge;0;3
random;91700;merge;0;3
random;91800;merge;0;3
random;91900;merge;0;3
random;92000;merge;0;3
random;92100;merge;0;3
random;92200;merge;0;3
random;92300;merge;0;3
random;92400;merge;0;3
random;92500;merge;0;3
random;92600;merge;0;3
random;92700;merge;0;3
random;92800;merge;0;3
random;92900;merge;0;3
random;93000;merge;0;3
random;93100;merge;0;3
random;93200;merge;0;3
random;93300;merge;0;3
random;93400;merge;0;3
random;93500;merge;0;3
random;93600;merge;0;3
random;93700;merge;0;3
random;93800;merge;0;3
random;93900;merge;0;3
random;94000;merge;0;3
random;94100;merge;0;3
random;94200;merge;0;3
random;94300;merge;0;3
random;94400;merge;0;3
random;94500;merge;0;4
random;94600;merge;0;3
random;94700;merge;0;4
random;94800;merge;0;4
random;94900;merge;0;4
random;95000;merge;0;4
random;95100;merge;0;4
random;95200;merge;0;4
random;95300;merge;0;4
random;95400;merge;0;4
random;95500;merge;0;4
random;95600;merge;0;4
random;95700;merge;0;4
random;95800;merge;0;4
random;95900;merge;0;4
random;96000;merge;0;4
random;96100;merge;0;4
random;96200;merge;0;4
random;96300;merge;0;4
random;96400;merge;0;4
random;96500;merge;0;4
random;96600;merge;0;4
random;96700;merge;0;4
random;96800;merge;0;4
random;96900;merge;0;4
random;97000;merge;0;4
random;97100;merge;0;4
random;97200;merge;0;4
random;97300;merge;0;4
random;97400;merge;0;4
random;97500;merge;0;4
random;97600;merge;0;4
random;97700;merge;0;4
random;97800;merge;0;4
random;97900;merge;0;4
random;98000;merge;0;4
random;98100;merge;0;4
random;98200;merge;0;4
random;98300;merge;0;4
random;98400;merge;0;4
random;98500;merge;0;4
random;98600;merge;0;4
random;98700;merge;0;4
random;98800;merge;0;4
random;98900;merge;0;4
random;99000;merge;0;4
random;99100;merge;0;4
random;99200;merge;0;4
random;99300;merge;0;4
random;99400;merge;0;4
random;99500;merge;0;4
random;99600;merge;0;4
random;99700;merge;0;4
random;99800;merge;0;4
random;99900;merge;0;4
random;100000;merge;0;4
random;500;hybrid;5;0
random;600;hybrid;5;0
random;700;hybrid;5;0
random;800;hybrid;5;0
random;900;hybrid;5;0
random;1000;hybrid;5;0
random;1100;hybrid;5;0
random;1200;hybrid;5;0
random;1300;hybrid;5;0
random;1400;hybrid;5;0
random;1500;hybrid;5;0
random;1600;hybrid;5;0
random;1700;hybrid;5;0
random;1800;hybrid;5;0
random;1900;hybrid;5;0
random;2000;hybrid;5;0
random;2100;hybrid;5;0
random;2200;hybrid;5;0
random;2300;hybrid;5;0
random;2400;hybrid;5;0
random;2500;hybrid;5;0
random;2600;hybrid;5;0
random;2700;hybrid;5;0
random;2800;hybrid;5;0
random;2900;hybrid;5;0
random;3000;hybrid;5;0
random;3100;hybrid;5;0
random;3200;hybrid;5;0
random;3300;hybrid;5;0
random;3400;hybrid;5;0
random;3500;hybrid;5;0
random;3600;hybrid;5;0
random;3700;hybrid;5;0
random;3800;hybrid;5;0
random;3900;hybrid;5;0
random;4000;hybrid;5;0
random;4100;hybrid;5;0
random;4200;hybrid;5;0
